exchangeName,count
Gate.io,71
Polkastarter,56
Poolz,43
Binance,42
DAO maker,33
Ignition (Paid Network),31
Trustpad,28
Coinlist,23
Enjinstarter,20
DuckStarter,20
BSCpad,19
GameFi,16
Kommunitas,15
Other,13
BSCStation,13
Pinksale,12
Seedify,12
PinkSale,12
Balancer,11
NFTb,10
FTX,9
PancakeSwap,9
Solanium,8
TrustPad,8
Gamestarter,7
DODO,7
Starter,7
Bounce Certified BSC,7
Impossible Finance,7
MoonStarter,6
BSC Station,6
Red Kite,6
Decubate,6
MISO,6
Truspad,5
EnjinStarter,5
DAOStarter,5
LaunchZone,5
Huobi,5
ZEEDO,5
Anonverse,5
BinStarter,5
Republic,5
P2PB2B,5
Avalaunch,5
Moonstarter,5
SolRazr,5
NFTPad,4
Tokensoft,4
SafeLaunch,4
Pancake IFO,4
Unicrypt,4
other,4
KickPad,4
Chainboost,4
Oxbull,4
Dodo,4
Raydium,4
Binstarter,4
BSCLaunch,4
Cardence,3
Vent Finance,3
OccamFi,3
Multiversepad,3
RedKite,3
DxSale,3
BullPerks,3
mapmetrics.org,3
Infinity Pad,3
Indoex,3
BSCstation,3
A2DAO,3
InfinityPad,3
Solrazr,3
Redkite,3
Matic Launchpad,3
Gagarin,3
SOLA-X,3
Gempad,3
Kucoin,3
DuckSTARTER,2
Polylauncher,2
IndoEx,2
Kanga Exchange,2
Bullperks,2
Https://www.memorylabs.cloud,2
0xPAD,2
ProBit,2
BrandPad,2
Gnosis Auction,2
MahaStarter,2
DAOMaker,2
Paragen,2
SingularityDAO,2
Self-hosted,2
BSClaunch,2
Bitmax,2
ScaleSwap,2
Copper Launch,2
Zeroswap,2
LuaStarter,2
Bybit,2
Launchzone,2
Flybit,2
MyTVchain Platform,2
AscendEX,2
MXC,2
DuckDAO,2
KeplerHomes Official Website,2
FantomStarter,2
Genesis Shards,2
Pinksale.Finance,2
BSCS,2
TruePNL,2
Sphere,2
Blokpad,2
WeStarter,2
Bitmart,2
SUSHI-MISO,2
kick.io,2
Zenland,2
https://visametafi.com/buy-token,2
ERAX,2
LATOKEN,2
PolkaBridge,2
DaoStarter,2
ProBit Global,2
ACY Finance,2
DAOmaker,2
P2B,2
VentFinance,2
CardStarter,2
Interest Protocol,2
Pirichain Explorer,2
GameStarter,2
FantomLive,2
Vulture Peak,2
Serum,2
Socios,2
OxBull,2
KeplerHomes official website,2
Apollo-X,2
MetaPad IDO,2
Infinity PAD,1
"Gamefi, Redkite polkafoundry",1
Bit2Me,1
SpacePort,1
Taraxa,1
MEXC,1
ZILSWAP,1
Polkafoundry Red Kite,1
PandaStarter,1
VentUp,1
handle.fi,1
dxSale,1
Sushiswap,1
"Scaleswap, Zendit",1
Polystarter,1
https://invest.antex.org/invest,1
Polygon Jetswap,1
https://dehive.finance/,1
MuesliSwap,1
LaunchZone (LZ Pad),1
Starter.xyz,1
TBA,1
STC Launchpad,1
FLy Launchpad,1
FaraStarter,1
Website,1
"NFTPAD, DODO, Starter",1
Magic Metaverse,1
Lighting,1
GOLDSwap,1
GoldSwap,1
Ground Zero,1
Copper,1
Acceleraytor,1
SuperLauncher,1
Polkabridge,1
JLaunchpad,1
"ANTEX, MEXC, DODO",1
Lightning launchpad,1
Solend Fi,1
"Thorstarter, Thorchain, Sushiswap",1
AscenDEX,1
OLa,1
Pancake,1
IMO Launchpad,1
GATE/Poolz/DAOMaker,1
BSC Launch,1
BSC MemePad,1
Battle Hero DAPP,1
Avaxlauncher,1
AlgoPad,1
NFTPAD,1
Impossible Finance Launchpad,1
NFTB,1
Cardence.io,1
Ardana,1
Twitter,1
Deversifi,1
Multigame,1
Dex-Trade,1
LAToken,1
JulPad,1
The Kickpad,1
MantraDAO,1
BSCPAD,1
SuperStarter ,1
ZeeDO,1
Zendit,1
Zeroswap| ZeeDO,1
"Pre-IDO with Genesis Shards, INO with DEGO",1
Solanium platform,1
MantraDAO-ZENDIT,1
https://razer.occam.fi,1
BSC Starter,1
Solana SPL Token Swap hosted on our own website,1
Burger Swap,1
HOO,1
Fei Protocol,1
https://paybswap.finance/,1
Helmet Insure,1
Prostarter,1
Platform is through the site. Harmony currently has no launchpad.,1
Kickpad,1
"POOLZ, RED KITE, GATE",1
CollateralDefi,1
Nasdaq,1
Helmet,1
Pancake Swap,1
YellowRoad,1
Poolz & DuckStarter,1
BENQI HOMEPAGE,1
Balancer Liquidity Bootstrapping Pool,1
Bondly,1
Chronicle,1
Launch Zone,1
Private,1
https://crosspad.finance,1
Smartlink,1
Singularitydao,1
BSCPad,1
Super Starter,1
my.mogulproductions.com,1
Probit Global,1
Synapse.Network,1
Macaron Swap,1
YOLOrekt,1
http://dehive.finance/,1
TerraSwap,1
https://community.kalata.io/,1
Scaleswap,1
https://bidder.top/#/lbp,1
MantraDao,1
JSwap,1
Latoken,1
DaoMaker,1
https://kalata.io/,1
BabySwap,1
Lattice Launchpad,1
Red Kite & LaunchZone,1
https://app.polylauncher.com/,1
https://vaulty.fi/,1
ZENDIT (MANTRA DAO),1
https://dapp.tenup.io/,1
DeversiFi Launch Market (DLM),1
TrustSwap,1
TrustPAD,1
ZeroSWAP,1
MDEX,1
SuperStarter,1
Bouncee,1
kickpad,1
Genshards,1
UniCrypt,1
JulPad IDO,1
ITO,1
Gnosis,1
Helmet insure,1
launch zone,1
Cyberfi / Samurai,1
Mars Ecosystem,1
Yellow Road,1
NULS,1
SakeSwap,1
KuCoin,1
Roco Finance,1
Leonicorn Swap,1
Infinitypad,1
Lithium,1
IotexPad,1
0xPad,1
Parasol,1
Wolfiland,1
vindax,1
Cactus Launchpad,1
CORESTARTER,1
Cryptostone Launchpad,1
TrustFi,1
IOTEXPAD,1
Republic.com,1
PlaySky.io,1
KubeCoin,1
Emerald Pad,1
Polygen,1
Zelwin Finance,1
http://immortalcat.io/,1
DAO Launch,1
Babylons,1
BscLaunch,1
PinkSale.Finance,1
FireStarter,1
flyby launchpad IDO,1
Spintop,1
Smartpad,1
xt.com,1
NeoNomad,1
MilkyWayExchange,1
KrystalGo,1
MetaLaunch,1
Zam.io,1
Diviner Launchpad,1
FantomLive Launchpad,1
ERAX.io,1
Koinstarter,1
ACESTARTER,1
OLÃ¡ Launchpad,1
TRUSTFI,1
Xion Finance,1
Vent,1
Erax.io,1
Pinksale Finance,1
Regular Presale,1
Kingdomstarter,1
https://www.coredaoswap.com,1
Poolz.Finance,1
WePad,1
Redkitepad,1
OKX,1
RyoshiVerse.io,1
Cetus Protocol,1
Finblox,1
LEND.finance,1
https://daomaker.com/company/xana,1
RBX,1
buy.intdestcoin.com,1
GemPad,1
AngelBlock,1
ChainGPT Pad,1
Syntrum,1
Fjord Foundry,1
Fjord,1
Spores Network,1
PInkSale,1
GAGARIN,1
Genius X Launchpad,1
gempad.app,1
XT,1
BSC STATION,1
zam.io,1
Metalaunch,1
Phemex Launchpad,1
Gagarin Launchpad,1
PandaSale,1
Byepix ICO Platform,1
toon.finance,1
Pancakeswap IFO,1
XT.com,1
GAGARIN launchpad,1
BSCstaion,1
X Starter,1
The Standard Protocol / Uniswap,1
Pancakeswap,1
HEROBOOK,1
GamesPad,1
P2Pb2b,1
CeloLaunch,1
CopperLaunch,1
SeedOn,1
BSCMEMEPAD,1
Direct Sale,1
Sushi MISO,1
JLAUNCHPAD,1
https://ido.all.art/,1
Probit,1
WECAP,1
Antex.finance,1
ANTEX,1
mycryptocity,1
Nexus Launch,1
Bin Stater,1
Infinite Launch,1
Kalata Launchpad,1
Infinity Launchpad,1
EraxNFT,1
Synapse Network,1
PolkaEx,1
Solar,1
DAO Starter,1
Tokensale Smart Contracts,1
Thorstarter,1
Launchpad,1
NinjaSwap,1
ONUS Launchpad,1
Heroes TD DApp,1
LaunchZone Pad,1
Kaistarter,1
MEXC Launchpad,1
Pinksale.finance,1
KoiStarter,1
Seedify.fund,1
Crypto Shield ICO,1
MISO (SushiSwap),1
Lightning Launchpad,1
Bull Starter,1
polkabridge,1
Daostarter,1
https://www.congcap.com/,1
MetaPad,1
TRUSPAD,1
Cybershinu,1
DexLab,1
pinksale,1
CoperLunch,1
CyberFi Samurai IDO,1
Wohpe,1
Gamestation,1
Liquidifty,1
MochiPad,1
HakuSwap,1
KrystalGO,1
ADAPAD,1
velaspad,1
SAFELAUNCH,1
Krystal GO,1
Starpunk,1
Maiar Launchpad,1
Lend Flare,1
CheersLand,1
GemGuardian,1
cardence.io,1
Seedling,1
Roseon Finance,1
https://ico.cardashift.com,1
Kick.io,1
Pink Sale,1
MemePad.co,1
Zamio dApps,1
Polygon,1
Clytie,1
MyTVchain,1
Leounicornswap,1
Memepad,1
Solster.finance,1
Maticlaunch,1
Kwikstarter,1
adax.pro,1
Safe Launch,1
Lunapad,1
Cobak,1
